620	8
213	35
4	552
357	55
96	371
7	10
127	12
231	8
52	195
171	700
223	10
115	865
98	44
231	797
64	24
197	19
179	2
199	240
26	119
43	189
174	149
275	314
184	384
826	526
24	223
32	325
3	152
730	10
207	21
372	56
740	121
234	199
139	292
482	163
252	305
100	64
95	63
568	64
127	48
5	45
138	8
48	171
522	3
623	269
159	227
15	153
222	216
198	6
121	44
237	41
277	138
49	90
321	205
489	10
297	189
53	15
18	71
15	64
269	171
188	92
228	60
51	471
201	173
166	533
253	591
198	480
549	200
384	64
102	6
279	180
297	466
85	226
108	35
329	379
46	35
211	60
47	171
215	531
233	166
514	356
543	10
48	119
367	3
58	143
8	505
359	3
5	480
117	362
64	241
12	222
33	111
13	493
53	499
4	606
190	51
193	35
43	2
212	31
220	52
476	10
34	787
292	205
5	39
757	64
29	22
28	321
184	143
255	38
47	482
35	245
115	844
320	10
101	74
211	243
134	171
252	286
526	10
289	587
102	36
492	21
48	3
150	678
140	119
133	45
26	484
321	64
636	247
629	325
102	152
190	223
2	6
134	163
48	541
143	480
201	27
62	45
15	421
101	77
864	199
62	48
143	261
228	65
40	90
328	177
133	245
6	256
275	3
50	19
208	10
171	192
97	146
48	152
425	253
96	68
7	41
122	218
51	251
13	69
106	35
26	74
23	55
172	76
253	442
16	7
58	222
55	6
163	11
6	797
120	10
40	379
142	5
62	89
7	60
131	154
427	19
39	245
300	100
22	3
204	379
133	276
133	238
138	136
99	469
16	71
496	52
96	202
197	480
342	398
104	697
85	30
284	38
25	493
211	2
197	82
276	46
257	194
226	320
445	44
511	188
594	193
231	172
56	71
187	62
262	865
120	21
171	450
122	74
6	16
295	5
63	3
414	5
509	70
329	39
3	183
692	8
246	261
686	44
120	220
162	63
138	61
293	64
126	41
172	421
430	21
102	865
12	799
207	60
297	60
132	60
6	140
116	798
132	8
362	10
212	81
232	146
279	10
362	65
6	223
411	19
257	19
232	163
1	15
225	505
201	149
269	264
17	124
81	56
97	435
6	77
246	4
38	687
26	505
138	70
207	46
872	6
96	405
346	421
46	222
26	682
1	80
8	460
15	72
292	89
289	327
100	116
38	35
83	214
270	63
72	24
18	88
5	384
189	128
17	780
8	64
153	8
360	74
412	6
62	199
162	202
580	64
93	64
15	422
199	5
193	205
340	261
207	259
15	66
866	261
102	41
202	64
96	735
26	99
179	7
645	70
30	38
290	16
267	10
12	132
366	397
87	22
42	51
171	187
758	5
199	38
644	64
55	630
10	218
306	320
59	193
190	11
226	3
555	247
274	210
117	210
187	163
212	97
486	199
91	240
246	379
12	16
6	39
98	51
196	10
32	259
108	60
342	515
85	10
300	88
39	383
79	46
39	320
137	38
631	269
213	127
42	216
99	620
125	199
58	51
63	8
201	5
645	152
18	233
304	60
58	480
30	64
29	64
22	163
59	74
171	17
300	5
112	3
270	48
122	60
129	18
201	210
102	351
174	176
345	65
27	180
198	202
88	119
443	64
254	10
1	205
363	261
46	14
505	78
46	251
90	80
532	57
197	233
297	3
174	314
231	750
201	11
117	212
253	512
188	467
275	116
283	6
841	116
62	246
50	287
99	193
322	8
365	132
52	110
606	44
98	56
26	84
295	110
473	24
27	591
26	205
153	38
347	199
585	8
241	27
558	6
56	60
217	338
65	745
194	465
542	10
97	52
184	301
51	51
26	652
27	217
160	3
435	279
207	8
65	3
205	86
5	19
469	10
47	63
546	140
12	308
172	471
211	54
52	261
357	146
185	205
52	99
198	309
58	188
17	8
97	5
47	438
7	241
141	233
205	383
34	85
296	19
33	60
343	121
365	301
231	100
190	27
252	163
51	99
8	610
115	11
58	63
765	10
96	180
276	441
194	105
185	14
174	189
667	155
101	44
56	38
39	60
296	240
551	64
329	5
94	16
6	52
158	97
133	169
636	64
244	281
97	276
207	163
500	74
279	139
762	232
197	274
552	10
83	21
140	255
201	287
391	339
289	337
361	793
420	8
94	67
511	10
48	325
15	22
138	216
97	71
30	89
276	44
149	6
71	60
213	734
8	153
52	100
117	117
207	131
506	10
129	6
246	262
359	45
26	96
39	32
93	369
51	17
96	172
245	50
133	149
4	461
99	61
96	253
253	3
246	378
44	171
292	113
131	464
196	70
254	3
192	31
4	619
191	513
341	140
194	64
157	3
364	60
96	146
45	261
290	64
327	60
143	77
335	64
117	335
233	120
125	205
50	5
171	536
235	126
246	172
135	5
86	320
253	6
246	49
359	247
118	325
194	435
279	128
7	367
38	199
299	205
127	64
43	12
125	841
433	3
535	10
379	199
14	18
179	110
87	317
30	409
134	452
228	19
268	238
281	175
90	15
204	345
182	64
85	62
28	255
596	231
391	60
16	111
117	468
207	275
207	51
159	3
35	205
179	68
229	78
4	244
405	222
52	63
142	10
71	5
329	51
542	216
587	10
227	250
5	31
12	60
5	245
449	111
345	51
202	875
52	308
162	349
369	5
83	762
50	10
12	30
36	119
194	35
356	286
414	10
197	469
64	63
263	153
747	169
205	143
418	10
477	35
215	247
439	533
212	61
245	30
207	250
675	199
435	382
6	86
213	253
191	3
15	186
633	605
674	253
173	6
115	36
159	575
28	44
11	456
34	30
85	136
297	51
90	222
299	175
605	71
623	8
33	240
553	10
159	282
185	230
184	5
4	163
163	8
118	55
12	41
9	379
134	169
198	205
192	423
293	6
52	17
137	44
246	691
749	199
575	88
845	90
255	448
174	21
275	36
